[Script Info]
; Script generated by Aegisub 2.1.8
; http://www.aegisub.org/
PlayResX: 640
PlayResY: 480
ScriptType: v4.00+
Video Aspect Ratio: 0
Video Zoom: 6
Video Position: 0

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Main01,Arial,26,&H00FFFFFF,&H0000FFFF,&H00000000,&H7F404040,-1,0,0,0,100,100,0,0,1,2,1,2,80,80,30,0
Style: On Screen,Arial,24,&H0072F9FB,&H000000FF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,2,1,8,30,30,15,0
Style: Main02,Arial,26,&H00FFFFFF,&H0000FFFF,&H00000000,&H7F404040,-1,0,0,0,100,100,0,0,1,2,1,2,25,25,30,0
Style: On Screen red,Arial,26,&H00E9FFED,&H000000FF,&H00321F99,&H00000000,-1,0,0,0,100,100,0,0,1,2,1,8,1,1,15,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:00.29,0:00:02.55,On Screen,,0000,0000,0000,,[New TV Show]
Dialogue: 0,0:00:02.55,0:00:06.09,On Screen,,0000,0000,0000,,[Kin Tama]
Dialogue: 0,0:00:06.11,0:00:09.11,On Screen,Caption,0000,0000,0000,,[Epizoda 3]
Dialogue: 0,0:00:09.96,0:00:11.41,Main01,Kagura,0000,0000,0000,,Shinpachi...
Dialogue: 0,0:00:15.89,0:00:17.88,Main01,Shinpachi,0000,0000,0000,,Měl jsem sen...
Dialogue: 0,0:00:17.88,0:00:19.03,Main01,Kagura,0000,0000,0000,,Sen?
Dialogue: 0,0:00:19.03,0:00:21.64,Main01,Shinpachi,0000,0000,0000,,Ano... byl to šťastný sen...
Dialogue: 0,0:00:22.09,0:00:24.04,Main01,Shinpachi,0000,0000,0000,,Pracoval jsem v Kabukicho...
Dialogue: 0,0:00:24.04,0:00:26.41,Main01,Shinpachi,0000,0000,0000,,Stal jsem se nejlepším hostitelem...
Dialogue: 0,0:00:26.41,0:00:28.62,Main01,Shinpachi,0000,0000,0000,,a Kintoki byl po mém boku...
Dialogue: 0,0:00:31.01,0:00:33.89,Main01,Shinpachi,0000,0000,0000,,A majitelkou toho místa byla Kagura-san...
Dialogue: 0,0:00:34.70,0:00:37.57,Main01,Shinpachi,0000,0000,0000,,Tak šťastný sen...
Dialogue: 0,0:00:40.14,0:00:43.52,Main01,Shinpachi,0000,0000,0000,,Chtěl jsem se stát hostitelem číslo jedna...
Dialogue: 0,0:00:44.02,0:00:46.25,Main01,Shinpachi,0000,0000,0000,,tak moc...
Dialogue: 0,0:00:49.91,0:00:52.69,Main01,Shinpachi,0000,0000,0000,,Nevybral jsem si tuhle dvojitou bradu (buttchin-butt-zadek-chin-brada)!
Dialogue: 0,0:00:54.32,0:00:56.45,Main01,Shinpachi,0000,0000,0000,,Co je tak špatného na tom mít dvojitou bradu?!
Dialogue: 0,0:00:56.45,0:00:58.64,Main01,Shinpachi,0000,0000,0000,,Na dvojité bradě není nic špatného!
Dialogue: 0,0:00:58.64,0:01:03.25,Main01,Shinpachi,0000,0000,0000,,Kdo ví, možná jsou zákazníci, pro které jsou lidé s dvojitou bradou atraktivní!
Dialogue: 0,0:01:03.25,0:01:04.54,Main01,Kagura,0000,0000,0000,,Přestaň!
Dialogue: 0,0:01:10.45,0:01:13.25,Main01,Shinpachi,0000,0000,0000,,Každý by měl skončit s takovou dvojitou bradou.
Dialogue: 0,0:01:17.05,0:01:21.41,Main01,Shinpachi,0000,0000,0000,,Všechna naděje byla ztracena jako padající déšťa nad Kabukicho.
Dialogue: 0,0:01:22.37,0:01:24.88,Main01,Shinpachi,0000,0000,0000,,Ztratili jsme vůli bojovat
Dialogue: 0,0:01:25.96,0:01:30.08,Main01,Shinpachi,0000,0000,0000,,můžou jen proklínat oblohu.
Dialogue: 0,0:01:26.31,0:01:32.07,On Screen,Caption,0000,0000,0000,,[Pokračování příště, bude poslední epizoda!!]
Dialogue: 0,0:03:33.27,0:03:35.18,Main01,Kagura,0000,0000,0000,,Nemůžu usnout.
Dialogue: 0,0:03:35.18,0:03:37.56,Main01,Kagura,0000,0000,0000,,Pořád nemůžu usnout.
Dialogue: 0,0:03:37.56,0:03:39.85,Main01,Kagura,0000,0000,0000,,Nemůžu zamhouřit oka.
Dialogue: 0,0:03:40.57,0:03:42.66,Main01,Kagura,0000,0000,0000,,Čím víc se snažím usnout,
Dialogue: 0,0:03:42.66,0:03:44.84,Main01,Kagura,0000,0000,0000,,tím víc vzhůru se cítím.
Dialogue: 0,0:03:44.84,0:03:46.86,Main01,Kagura,0000,0000,0000,,Nemám pocit že bych spala.
Dialogue: 0,0:03:46.88,0:03:52.85,On Screen,EpTitle,0000,0000,0000,,["Děti Potřebují Spánek k Růstu"]
Dialogue: 0,0:04:05.94,0:04:07.50,Main01,Gintoki,0000,0000,0000,,Co?
Dialogue: 0,0:04:07.50,0:04:09.25,Main01,Kagura,0000,0000,0000,,Nemůžu spát.
Dialogue: 0,0:04:10.23,0:04:11.69,Main01,Gintoki,0000,0000,0000,,Oh, vážně...
Dialogue: 0,0:04:12.59,0:04:14.93,Main01,Gintoki,0000,0000,0000,,Nebuď vzhůru moc brzo.
Dialogue: 0,0:04:14.93,0:04:16.83,Main01,Gintoki,0000,0000,0000,,Zítra máme práci.
Dialogue: 0,0:04:20.74,0:04:22.13,Main01,Gintoki,0000,0000,0000,,Co to?
Dialogue: 0,0:04:22.77,0:04:24.51,Main01,Kagura,0000,0000,0000,,Nemůžu spát.
Dialogue: 0,0:04:24.51,0:04:25.98,Main01,Gintoki,0000,0000,0000,,To už jsi řekla.
Dialogue: 0,0:04:26.24,0:04:29.24,Main01,Gintoki,0000,0000,0000,,Jestli nemůžeš usnout, buď vzhůru tak dlouho dokud nebudeš unavená.
Dialogue: 0,0:04:29.24,0:04:30.47,Main01,Gintoki,0000,0000,0000,,Jsi otravná.
Dialogue: 0,0:04:31.46,0:04:33.66,Main01,Gintoki,0000,0000,0000,,Nech mě spát, okay?
Dialogue: 0,0:04:33.66,0:04:34.91,Main01,Gintoki,0000,0000,0000,,Řekl jsem že máme práci...
Dialogue: 0,0:04:34.91,0:04:37.53,Main01,Kagura,0000,0000,0000,,Nemůžu spát.
Dialogue: 0,0:04:35.13,0:04:37.51,Main01,Gintoki,0000,0000,0000,,{\i1}Hey! Co to děláš?!
Dialogue: 0,0:04:37.53,0:04:42.74,Main01,Kagura,0000,0000,0000,,Nemůžu zamhouřit oka.
Dialogue: 0,0:04:40.34,0:04:41.64,Main01,Gintoki,0000,0000,0000,,{\i1}Jako by mě to zajímalo!
Dialogue: 0,0:04:41.64,0:04:43.41,Main01,Gintoki,0000,0000,0000,,{\i1}Přestaň otravovat!
Dialogue: 0,0:04:42.74,0:04:44.51,Main01,Kagura,0000,0000,0000,,Nemůžu spát...
Dialogue: 0,0:04:47.70,0:04:50.46,Main01,Kagura,0000,0000,0000,,Ulož mě ke spánku.
Dialogue: 0,0:04:51.05,0:04:55.10,Main01,Kagura,0000,0000,0000,,Použij vše co je ve tvé moci, abys mě uspal.
Dialogue: 0,0:04:55.10,0:04:56.42,Main01,Gintoki,0000,0000,0000,,Jdi spát k sobě!
